INFO       2022-07-30 22:12:41,844: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-07-30 22:12:42,078: topic='drag' sending data='{"drag": 21162.87234873467}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 21162.87234873467}'
INFO       2022-07-30 22:12:42,078: topic='field_update' sending data='{"currentTimestep": 1}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 1}'
DEBUG      2022-07-30 22:12:42,078: Timestep:     0-{'drag': 21162.87234873467}
INFO       2022-07-30 22:12:42,251: topic='drag' sending data='{"drag": 85412.61213504327}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 85412.61213504327}'
INFO       2022-07-30 22:12:42,251: topic='field_update' sending data='{"currentTimestep": 2}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 2}'
DEBUG      2022-07-30 22:12:42,251: Timestep:     1-{'drag': 85412.61213504327}
INFO       2022-07-30 22:12:42,473: topic='drag' sending data='{"drag": 193675.91162581768}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 193675.91162581768}'
INFO       2022-07-30 22:12:42,473: topic='field_update' sending data='{"currentTimestep": 3}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 3}'
DEBUG      2022-07-30 22:12:42,473: Timestep:     2-{'drag': 193675.91162581768}
INFO       2022-07-30 22:12:42,696: topic='drag' sending data='{"drag": 346579.3852323482}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 346579.3852323482}'
INFO       2022-07-30 22:12:42,696: topic='field_update' sending data='{"currentTimestep": 4}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 4}'
DEBUG      2022-07-30 22:12:42,696: Timestep:     3-{'drag': 346579.3852323482}
INFO       2022-07-30 22:12:42,884: topic='drag' sending data='{"drag": 544436.0057446223}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 544436.0057446223}'
INFO       2022-07-30 22:12:42,884: topic='field_update' sending data='{"currentTimestep": 5}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 5}'
DEBUG      2022-07-30 22:12:42,884: Timestep:     4-{'drag': 544436.0057446223}
INFO       2022-07-30 22:12:43,111: topic='drag' sending data='{"drag": 787235.7079968007}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 787235.7079968007}'
INFO       2022-07-30 22:12:43,111: topic='field_update' sending data='{"currentTimestep": 6}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 6}'
DEBUG      2022-07-30 22:12:43,111: Timestep:     5-{'drag': 787235.7079968007}
INFO       2022-07-30 22:12:43,327: topic='drag' sending data='{"drag": 1074640.4397494195}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 1074640.4397494195}'
INFO       2022-07-30 22:12:43,327: topic='field_update' sending data='{"currentTimestep": 7}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 7}'
DEBUG      2022-07-30 22:12:43,327: Timestep:     6-{'drag': 1074640.4397494195}
INFO       2022-07-30 22:12:43,533: topic='drag' sending data='{"drag": 1405983.834658426}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 1405983.834658426}'
INFO       2022-07-30 22:12:43,533: topic='field_update' sending data='{"currentTimestep": 8}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 8}'
DEBUG      2022-07-30 22:12:43,533: Timestep:     7-{'drag': 1405983.834658426}
INFO       2022-07-30 22:12:43,804: topic='drag' sending data='{"drag": 1780275.5691828388}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 1780275.5691828388}'
INFO       2022-07-30 22:12:43,804: topic='field_update' sending data='{"currentTimestep": 9}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 9}'
DEBUG      2022-07-30 22:12:43,804: Timestep:     8-{'drag': 1780275.5691828388}
INFO       2022-07-30 22:12:44,043: topic='drag' sending data='{"drag": 2196210.348340471}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 2196210.348340471}'
INFO       2022-07-30 22:12:44,043: topic='field_update' sending data='{"currentTimestep": 10}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 10}'
DEBUG      2022-07-30 22:12:44,043: Timestep:     9-{'drag': 2196210.348340471}
INFO       2022-07-30 22:12:44,297: topic='drag' sending data='{"drag": 2652181.3488092422}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 2652181.3488092422}'
INFO       2022-07-30 22:12:44,297: topic='field_update' sending data='{"currentTimestep": 11}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 11}'
